date,open,high,low,close,volume,amount,pctChg,turn
2024-01-02,21.23050746,21.62164363,21.21231508,21.53977792,68880298,1627813605.44,1.4567,0.2925
2024-01-03,21.53068173,21.6489322,21.4670084,21.61254744,60752512,1439625326.56,0.3378,0.258
2024-01-04,21.6489322,21.81266362,21.47610459,21.6489322,61342335,1458263731.85,0.1684,0.2605
2024-01-05,21.63073982,21.78537505,21.52158554,21.59435506,70563121,1680566822.7,-0.2521,0.2997
2024-01-08,21.59435506,21.66712458,21.40333507,21.4670084,65439403,1546139933.66,-0.5897,0.2779
2024-01-09,21.4670084,21.53977792,21.1941227,21.41243126,80150503,1884034535.36,-0.2542,0.3404
2024-01-10,21.38514269,21.50339316,21.11225699,21.23050746,67243039,1569818928.71,-0.8496,0.2856
2024-01-11,21.26689222,21.27598841,21.02129509,21.08496842,60919882,1415166912.97,-0.6855,0.2587
2024-01-12,21.00310271,21.45791221,21.00310271,21.40333507,62005621,1452655347.77,1.5099,0.2633
2024-01-15,21.35785412,21.51248935,21.2850846,21.3760465,40987662,964175881.47,-0.1275,0.1741
2024-01-16,21.30327698,21.43971983,21.1941227,21.42152745,57834255,1355366874.24,0.2128,0.2456
2024-01-17,21.42152745,21.4670084,21.21231508,21.21231508,66509131,1559265043.55,-0.9766,0.2825
2024-01-18,21.1941227,21.30327698,20.81208272,21.21231508,122738921,2841916739.64,0.0,0.5213
2024-01-19,21.1941227,21.39423888,21.03039128,21.3760465,94494749,2208441096.52,0.7719,0.4013
2024-01-22,21.06677604,21.35785412,20.98491033,21.13044937,110790646,2581327055.81,-1.1489,0.4705
2024-01-23,21.06677604,21.23960365,20.85756367,21.14864175,85306405,1971733021.77,0.0861,0.3623
2024-01-24,21.20321889,21.71260553,21.17593032,21.69441315,108649042,2566320794.86,2.5806,0.4614
2024-01-25,21.70350934,21.9218179,21.56706649,21.77627886,82891286,1978742267.09,0.3774,0.352
2024-01-26,21.69441315,22.00368361,21.65802839,21.94910647,71370324,1712379230.75,0.7937,0.3031
2024-01-29,21.91272171,22.2856655,21.88543314,22.07645313,69416961,1691010353.37,0.5802,0.2948
2024-01-30,22.06735694,22.15831884,21.83995219,21.9218179,79784398,1927743954.07,-0.7005,0.3388
2024-01-31,21.90362552,22.24928074,21.85814457,22.1947036,88550152,2155156152.15,1.2448,0.3761
2024-02-01,22.1037417,22.23108836,21.96729885,21.96729885,66074108,1601356833.39,-1.0246,0.2806
2024-02-02,22.03097218,22.30385788,21.96729885,22.08554932,101817510,2482060134.91,0.5383,0.4324
2024-02-05,22.14922265,22.63132072,22.09464551,22.52216644,114937132,2832953857.73,1.9769,0.4881
2024-02-06,22.4675893,22.97697594,22.35843502,22.48578168,126603040,3150676352.88,-0.1616,0.5377
2024-02-07,22.54945501,22.5585512,22.04916456,22.4675893,135642238,3325417287.04,-0.0809,0.5761
2024-02-08,22.38572359,22.50397406,22.1947036,22.41301216,87497217,2150797174.47,-0.2429,0.3716
2024-02-19,22.35843502,23.00426451,22.2856655,22.9223988,87245684,2183694503.95,2.2727,0.3705
2024-02-20,22.90420642,23.39540068,22.84053309,23.23166926,68608378,1750801469.02,1.3492,0.2858
2024-02-21,23.21347688,23.3772083,23.09522641,23.09522641,79877592,2040015336.54,-0.5873,0.3327
2024-02-22,23.1952845,23.35901592,23.06793784,23.24076545,66689215,1701564034.67,0.6302,0.2778
2024-02-23,23.1952845,23.41359306,23.03155308,23.36811211,61030579,1558028569.49,0.5479,0.2542
2024-02-26,23.18618831,23.23166926,22.67680167,22.69499405,80588451,2031771859.93,-2.8805,0.3357
2024-02-27,22.65860929,22.77685976,22.57674358,22.67680167,54655099,1361112174.72,-0.0802,0.2277
2024-02-28,22.57674358,23.14070736,22.36753121,23.0133607,120223309,3011572334.43,1.4842,0.5008
2024-02-29,22.9223988,23.03155308,22.740475,22.78595595,76228710,1914111615.99,-0.9881,0.3175
2024-03-01,22.78595595,22.87691785,22.6495131,22.740475,57112914,1427971156.87,-0.1996,0.2379
2024-03-04,22.71318643,23.16799593,22.62222453,23.14980355,86329895,2180343415.48,1.8,0.3596
2024-03-05,23.05884165,23.650094,23.04064927,23.59551686,98844338,2550840672.74,1.9253,0.4117
2024-03-06,23.5591321,23.9229797,23.47726639,23.52274734,87775400,2284641772.84,-0.3084,0.3656
2024-03-07,23.51365115,23.75924828,23.4681702,23.5591321,76693945,1987481631.62,0.1547,0.3195
2024-03-08,23.57732448,23.73195971,23.43178544,23.49545877,61448903,1589578908.83,-0.2703,0.256
2024-03-11,23.44088163,23.64099781,23.25895783,23.43178544,76887209,1980534434.09,-0.271,0.3203
2024-03-12,23.3772083,23.42268925,22.52216644,22.58583977,159072692,3993859960.88,-3.6102,0.6626
2024-03-13,22.58583977,22.67680167,22.29476169,22.64041691,129403361,3201049099.69,0.2416,0.539
2024-03-14,22.52216644,22.63132072,22.36753121,22.45849311,99913194,2471465579.64,-0.8035,0.4162
2024-03-15,22.45849311,22.67680167,22.43120454,22.47668549,73946991,1831479868.56,0.081,0.308
2024-03-18,22.45849311,22.62222453,22.38572359,22.44030073,80008345,1976509114.83,-0.1619,0.3333
