date,open,high,low,close,volume,amount,pctChg,turn
2024-05-10,200.4320262,200.4320262,194.306119,194.7847055,22801132,4675581900.35,-2.8176,0.5854
2024-05-13,187.8930599,193.12879621,187.13689323,190.81243755,22196723,4425713327.7,-2.0393,0.5699
2024-05-14,192.0089038,192.5832076,189.63511476,190.48699873,10694712,2131826963.91,-0.1706,0.2746
2024-05-15,190.48699873,194.62198609,189.0416675,189.41496497,13074116,2607766831.74,-0.5628,0.3357
2024-05-16,190.2859924,193.00436372,188.54393754,191.11873291,15378204,3065019508.61,0.8995,0.3948
2024-05-17,191.1474481,194.306119,190.07541434,194.306119,18496201,3727316446.1,1.6678,0.4749
2024-05-20,198.3262456,198.97712324,194.31569073,194.73684685,19917171,4083626152.69,0.2217,0.5114
2024-05-21,194.94742491,195.81845234,191.97061688,192.92778988,12296358,2480343309.64,-0.929,0.3157
2024-05-22,193.8275325,198.134811,192.9660768,196.11517597,25236561,5153120079.07,1.6521,0.6479
2024-05-23,195.4547266,196.84262745,194.43055149,195.58873082,17654820,3602986569.39,-0.2684,0.4533
2024-05-24,194.1146844,196.08646078,192.19076667,192.37262954,15510693,3136303496.79,-1.6443,0.3982
2024-05-27,193.1575114,193.1575114,189.9988405,191.44417173,16361785,3261446783.13,-0.4826,0.4201
2024-05-28,190.91772658,191.98976034,189.1373848,189.3288194,12689994,2517505166.39,-1.1049,0.3258
2024-05-29,189.52982573,193.8275325,189.3288194,190.27642067,13338755,2663801635.26,0.5005,0.3425
2024-05-30,190.52528565,192.27691224,189.19481518,190.81243755,12784004,2548445865.24,0.2817,0.3282
2024-05-31,190.81243755,193.58823925,189.29053248,189.29053248,13808627,2760668470.77,-0.7976,0.3545
2024-06-03,189.29053248,194.8804228,187.4144734,193.8275325,18718068,3757638839.5,2.3968,0.4806
2024-06-04,193.33937427,198.36453252,192.391773,197.14892281,17714939,3639805938.31,1.7136,0.4548
2024-06-05,196.8904861,198.94840805,195.27286373,195.37815276,11777390,2420867501.82,-0.8982,0.3024
2024-06-06,195.24414854,198.01995024,193.5403806,196.01945867,12412570,2544442658.23,0.3282,0.3187
2024-06-07,190.34342278,193.77967385,179.55608307,184.9258236,51686760,10008885040.64,-5.6595,1.3271
2024-06-11,180.905697,183.777216,176.70370753,180.68554721,42072363,7876263876.2,-2.293,1.0802
2024-06-12,178.034178,181.63314848,177.53644804,177.6513088,20310392,3788449182.24,-1.6793,0.5215
2024-06-13,178.991351,181.87244173,177.19186576,177.24929614,22117637,4134985666.22,-0.2263,0.5679
2024-06-14,178.1298953,178.58933834,170.93195434,176.97171597,37184949,6764196086.13,-0.1566,0.9547
2024-06-17,174.73193115,182.3414565,174.50220963,180.1399586,26929318,5044213365.16,1.7903,0.6914
2024-06-18,180.09209995,182.31274131,179.01049446,182.17873709,15652909,2959271843.32,1.1318,0.4019
2024-06-19,182.4371738,182.5328911,179.64222864,180.91526873,10753975,2030697600.04,-0.6935,0.2761
2024-06-20,181.85329827,181.96815903,179.0870683,179.93895227,11562370,2172637229.05,-0.5397,0.2969
2024-06-21,180.24524763,180.86741008,174.55964001,177.23015268,18467717,3416688219.76,-1.5054,0.4742
2024-06-24,175.162659,179.93895227,175.162659,178.97220754,18035490,3363422625.72,0.9829,0.4631
2024-06-25,178.991351,181.0971316,177.6513088,178.34047336,14414412,2696969882.24,-0.353,0.3701
2024-06-26,177.19186576,178.63719699,175.3540936,177.56516323,10481398,1940490559.38,-0.4347,0.2691
2024-06-27,177.56516323,177.91931724,175.17223073,177.077005,12653577,2330478210.95,-0.2749,0.3249
2024-06-28,175.9283974,177.53644804,172.13799232,172.31985519,19420506,3539244333.22,-2.6865,0.4986
2024-07-01,171.51582987,171.60197544,163.83930241,168.52945011,26995744,4709620520.85,-2.1996,0.6931
2024-07-02,166.40452605,169.38133408,164.73904503,168.53902184,14415586,2529552189.48,0.0057,0.3701
2024-07-03,169.419621,174.6840725,168.75917163,171.8125535,16205321,2906473773.97,1.9423,0.4161
2024-07-04,172.66443747,175.15308727,171.5254016,171.9082708,11834646,2137596470.18,0.0557,0.3039
2024-07-05,173.248313,174.67450077,168.9410345,170.01306826,13524707,2414693953.96,-1.1024,0.3472
2024-07-08,168.47201973,170.73094801,167.51484673,168.37630243,10806397,1907514420.0,-0.9627,0.2775
2024-07-09,167.7924269,169.7067729,165.67707457,168.24229821,16443915,2876833389.62,-0.0796,0.4222
2024-07-10,167.51484673,172.37728557,165.63878765,165.63878765,17772919,3123226777.38,-1.5475,0.4563
2024-07-11,167.505275,171.31482354,166.05994377,169.42919273,20811148,3678618339.7,2.2884,0.5343
2024-07-12,170.23321805,173.98533621,169.419621,172.0997054,19550460,3523525353.71,1.5762,0.502
2024-07-15,170.6639459,172.24328135,169.52491003,170.49165476,11469696,2041627402.34,-0.9344,0.2945
2024-07-16,169.8982075,172.7697265,169.7067729,171.6211189,15148737,2710034963.05,0.6625,0.3889
2024-07-17,170.376794,174.83722018,168.40501762,173.14302397,18590141,3346445646.37,0.8868,0.4773
2024-07-18,172.29114,181.0014143,171.98484464,180.28353455,31994401,5957621426.21,4.1241,0.8215
2024-07-19,178.36918855,181.94901557,178.2256126,181.32685312,20847631,3929663334.93,0.5787,0.5353
2024-07-22,183.00190587,185.86385314,179.3742202,181.40342696,17168252,3259890052.78,0.0422,0.4408
2024-07-23,180.91526873,181.5757181,178.2256126,178.2256126,11903104,2233862306.3,-1.7518,0.3056
2024-07-24,178.034178,180.99184257,177.45030247,178.34047336,14468136,2708577542.72,0.0644,0.3715
2024-07-25,178.14903876,182.56160629,177.13443538,179.69008729,20595888,3863507112.24,0.7568,0.5288
2024-07-26,181.86287,185.0215409,179.99638265,181.24070755,23347718,4436931314.66,0.8629,0.5995
2024-07-29,178.991351,178.991351,172.29114,176.62713369,21362366,3918833597.96,-2.5456,0.5485
