date,open,high,low,close,volume,amount,pctChg,turn
2024-01-02,7.88392851,7.90911678,7.73279889,7.73279889,115836645,1075742252.45,-1.9169,0.5969
2024-01-03,7.71600671,7.74119498,7.68242235,7.7244028,73361031,673673613.54,-0.1086,0.378
2024-01-04,7.71600671,7.71600671,7.62364972,7.64883799,86419399,787470082.37,-0.9783,0.4453
2024-01-05,7.6404419,7.92590896,7.61525363,7.78317543,199162216,1852659692.14,1.7563,1.0263
2024-01-08,7.74959107,7.8083637,7.64883799,7.68242235,112115619,1029006548.73,-1.2945,0.5778
2024-01-09,7.69081844,7.71600671,7.63204581,7.70761062,76619388,700375720.2,0.3279,0.3948
2024-01-10,7.69081844,7.71600671,7.63204581,7.63204581,85862091,783771150.01,-0.9804,0.4425
2024-01-11,7.62364972,7.74119498,7.58166927,7.69921453,93468637,853890237.29,0.8801,0.4817
2024-01-12,7.66563017,7.78317543,7.64883799,7.71600671,77258215,711018266.07,0.2181,0.3981
2024-01-15,7.69081844,7.79996761,7.66563017,7.73279889,74513266,685950951.45,0.2176,0.384
2024-01-16,7.71600671,7.85034415,7.69081844,7.84194806,143831258,1334465408.53,1.4115,0.7412
2024-01-17,7.83355197,7.88392851,7.74959107,7.74959107,148229621,1380725065.03,-1.1777,0.7639
2024-01-18,7.73279889,7.75798716,7.556481,7.7244028,175513247,1597853726.63,-0.325,0.9044
2024-01-19,7.69081844,7.7244028,7.6404419,7.69921453,96398142,881865023.89,-0.3261,0.4968
2024-01-22,7.69081844,7.77477934,7.59006536,7.6404419,158031966,1449858241.68,-0.7634,0.8144
2024-01-23,7.59846145,7.70761062,7.52289664,7.69081844,113554458,1030898421.04,0.6593,0.5852
2024-01-24,7.74959107,7.84194806,7.61525363,7.83355197,175912316,1620099272.06,1.8559,0.9065
2024-01-25,7.83355197,8.00986986,7.78317543,7.9762855,216251395,2037648413.07,1.8221,1.1144
2024-01-26,7.95109723,8.11901903,7.92590896,8.07703858,227228706,2172799799.01,1.2632,1.1709
2024-01-29,8.13581121,8.29533692,8.04345422,8.1442073,237625184,2312173346.33,0.8316,1.2245
2024-01-30,8.06864249,8.1442073,7.96788941,7.9762855,157912214,1515156603.96,-2.0619,0.8137
2024-01-31,7.94270114,8.02666204,7.87553242,7.94270114,135721747,1286857396.81,-0.4211,0.6994
2024-02-01,7.90072069,7.95949332,7.84194806,7.90072069,105525987,993481907.01,-0.5285,0.5438
2024-02-02,7.90911678,7.95109723,7.61525363,7.78317543,163421431,1520605694.69,-1.4878,0.8421
2024-02-05,7.71600671,7.91751287,7.64883799,7.87553242,180359190,1674566499.46,1.1866,0.9294
2024-02-06,7.8083637,8.12741512,7.79996761,8.12741512,199540954,1900324218.2,3.1983,1.0283
2024-02-07,8.07703858,8.11901903,7.95949332,8.06864249,206201497,1975435102.12,-0.7231,1.0626
2024-02-08,8.04345422,8.11901903,7.99307768,8.11901903,165681384,1593505690.13,0.6243,0.8538
2024-02-19,8.19458384,8.23656429,8.10222685,8.23656429,160524265,1564088444.93,1.4478,0.8272
2024-02-20,8.21977211,8.26175256,8.16939557,8.24496038,112356398,1098987813.26,0.1019,0.579
2024-02-21,8.21137602,9.0677772,8.20297993,9.0677772,505528460,5295259396.81,9.9796,2.6051
2024-02-22,8.94183585,9.16013419,8.91664758,9.1517381,492232512,5307736374.06,0.9259,2.5366
2024-02-23,9.13494592,9.43720516,9.10136156,9.10975765,356747950,3917316281.52,-0.4587,1.8384
2024-02-26,9.05098502,9.13494592,8.8158945,8.84108277,286260888,3048205024.78,-2.9493,1.4751
2024-02-27,8.80749841,8.8998554,8.78231014,8.8158945,198190492,2083027074.06,-0.2849,1.0213
