date,open,high,low,close,volume,amount,pctChg,turn
2024-01-02,1558.47881,1561.37767146,1524.9465254,1531.22587734,3215644,5440082548.08,-2.3749,0.256
2024-01-03,1527.68181474,1540.50405148,1523.33806622,1539.395396,2022929,3411400667.33,0.5335,0.161
2024-01-04,1538.486662,1538.486662,1511.16103062,1516.677046,2155107,3603970147.13,-1.4758,0.1716
2024-01-05,1509.70705622,1525.45541644,1501.32852874,1511.55178624,2024286,3373155626.7,-0.3379,0.1611
2024-01-08,1509.407174,1510.315908,1490.33284734,1493.94960866,2558620,4211918629.14,-1.1645,0.2037
2024-01-09,1491.24158134,1501.51936288,1485.84370138,1491.232494,2441204,4009826495.98,-0.1819,0.1943
2024-01-10,1491.3233674,1508.00772364,1488.506292,1491.686861,1735067,2856120717.95,0.0305,0.1381
2024-01-11,1490.4146334,1506.62644796,1488.56081604,1496.29414238,1644055,2708764500.37,0.3089,0.1309
2024-01-12,1490.29649798,1500.55610484,1489.7785196,1493.10448604,1160324,1908084612.39,-0.2132,0.0924
2024-01-15,1485.78009,1503.92750798,1485.2802863,1490.32376,1785403,2931202342.59,-0.1862,0.1421
2024-01-16,1488.960659,1496.684898,1476.63822596,1489.80578162,2590314,4236042959.79,-0.0348,0.2062
2024-01-17,1481.23642,1486.21628232,1433.073518,1433.073518,5163276,8251735591.39,-3.808,0.411
2024-01-18,1430.347316,1465.6061952,1413.5811737,1463.85233858,6043981,9566349513.74,2.1477,0.4811
2024-01-19,1462.03487058,1488.51537934,1454.77408592,1485.78009,4637843,7550144389.15,1.4979,0.3692
2024-01-22,1480.327686,1493.049962,1471.13129792,1492.141228,4694589,7678297835.81,0.4281,0.3737
2024-01-23,1483.06297534,1490.2783233,1462.153006,1471.240346,3483490,5659457114.74,-1.4007,0.2773
2024-01-24,1480.327686,1484.72595856,1457.20949304,1477.601484,3321635,5373603703.01,0.4324,0.2644
2024-01-25,1478.34664588,1491.232494,1473.966548,1488.506292,3120580,5094508164.92,0.738,0.2484
2024-01-26,1481.56356424,1494.0495694,1474.875282,1487.88835288,2695475,4402111882.29,-0.0415,0.2146
2024-01-29,1490.5963802,1509.02550572,1490.58729286,1499.4111,3142068,5189014946.07,0.7744,0.2501
2024-01-30,1499.39292532,1499.39292532,1463.06174,1465.787942,3086633,5010784454.24,-2.2424,0.2457
2024-01-31,1465.787942,1472.12181798,1452.27506742,1458.43628394,2964912,4770104890.59,-0.5015,0.236
2024-02-01,1458.972437,1475.68405526,1454.883134,1463.08900202,2648515,4272298575.76,0.319,0.2108
2024-02-02,1467.60541,1479.21903052,1436.708454,1450.339464,3938202,6336691193.66,-0.8714,0.3135
